borough,population_density
Barking and Dagenham,5892.712926954293
Barnet,4577.02267274036
Bexley,4126.712501750559
Brent,7791.775458896943
Bromley,2216.2269913911814
Camden,11594.546771706013
City of London,2645.032566167137
Croydon,4523.463089152266
Ealing,6315.3909298171975
Enfield,4177.765255779795
Greenwich,6048.988137816842
Hackney,14790.258294059673
Hammersmith and Fulham,11224.304164799254
Haringey,9604.847723627643
Harrow,5060.545260876023
Havering,2292.0495375571477
Hillingdon,2678.6772199135776
Hounslow,4970.96068892316
Islington,16037.727467069308
Kensington and Chelsea,13139.29636993956
Kingston upon Thames,4819.520457432691
Lambeth,12485.02659545204
Lewisham,8828.740628474643
Merton,5566.045403425799
Newham,9758.58318560577
Redbridge,5422.109861329153
Richmond upon Thames,3473.7879851658654
Southwark,11166.988825769828
Sutton,4729.584461014545
Tower Hamlets,16035.517627882045
Waltham Forest,7305.820199838883
Wandsworth,9467.615879795132
Westminster,11838.56456328437
