borough,date,year,month,crime_count,population,crime_per_1000,claimant_count,claimant_per_1000,population_density,imd_value
Barking and Dagenham,2019-01-01,2019,1,1553.0,218828,7.0968980203630245,4325,19.7643811578043,5892.712926954293,32.883472727272725
Barking and Dagenham,2019-02-01,2019,2,1537.0,218828,7.023781234576928,4620,21.112471895735464,5892.712926954293,32.883472727272725
Barking and Dagenham,2019-03-01,2019,3,1622.0,218828,7.4122141590655675,4695,21.455206829107794,5892.712926954293,32.883472727272725
Barking and Dagenham,2019-04-01,2019,4,1602.0,218828,7.3208181768329466,4815,22.00358272250352,5892.712926954293,32.883472727272725
Barking and Dagenham,2019-05-01,2019,5,1750.0,218828,7.997148445354343,4940,22.574807611457402,5892.712926954293,32.883472727272725
Barking and Dagenham,2019-06-01,2019,6,1627.0,218828,7.435063154623723,5065,23.146032500411284,5892.712926954293,32.883472727272725
Barking and Dagenham,2019-07-01,2019,7,1747.0,218828,7.9834390480194495,5050,23.077485513736814,5892.712926954293,32.883472727272725
Barking and Dagenham,2019-08-01,2019,8,1481.0,218828,6.767872484325589,5105,23.328824464876526,5892.712926954293,32.883472727272725
Barking and Dagenham,2019-09-01,2019,9,1576.0,218828,7.20200339993054,5180,23.671559398248853,5892.712926954293,32.883472727272725
Barking and Dagenham,2019-10-01,2019,10,1731.0,218828,7.910322262233352,5295,24.19708629608642,5892.712926954293,32.883472727272725
Barking and Dagenham,2019-11-01,2019,11,1582.0,218828,7.229422194600326,5420,24.768311185040307,5892.712926954293,32.883472727272725
Barking and Dagenham,2019-12-01,2019,12,1608.0,218828,7.3482369715027325,5430,24.814009176156617,5892.712926954293,32.883472727272725
Barking and Dagenham,2020-01-01,2020,1,1614.0,219227,7.36223184188079,5445,24.837269131995605,5892.712926954293,32.883472727272725
Barking and Dagenham,2020-02-01,2020,2,1518.0,219227,6.924329576192713,5770,26.319750760627112,5892.712926954293,32.883472727272725
Barking and Dagenham,2020-03-01,2020,3,1377.0,219227,6.28116062346335,5850,26.684669315367177,5892.712926954293,32.883472727272725
Barking and Dagenham,2020-04-01,2020,4,1220.0,219227,5.565007959785975,8315,37.9287222832954,5892.712926954293,32.883472727272725
