borough,avg_crime_count,avg_crime_per_1000,avg_claimant_count,avg_claimant_per_1000,population_density,imd_value
Westminster,6005.111111111111,28.76555556182018,6729.027777777777,32.358291510218955,11838.56456328437,20.33184375
Camden,2963.7361111111113,13.720503957498694,7283.75,33.84357135343557,11594.546771706013,19.981052631578947
Kensington and Chelsea,1760.2777777777778,12.08829430507791,3890.6944444444443,26.77463126094787,13139.29636993956,22.019300970873783
Islington,2293.527777777778,10.378621968060019,9137.361111111111,41.42587639606869,16037.727467069308,27.706040650406504
Hackney,2652.5138888888887,10.046825007217754,12394.375,47.02355739863385,14790.258294059671,32.868201388888885
Southwark,2954.8194444444443,9.480030134269107,13127.986111111111,42.19668979276927,11166.988825769828,26.041289156626508
Hammersmith and Fulham,1718.7916666666667,9.200149038454734,6930.208333333333,37.18704570689825,11224.304164799254,22.32622123893805
Haringey,2419.2361111111113,9.088256908221348,13280.347222222223,50.03627350839939,9604.847723627645,27.587200000000003
Lambeth,2825.9583333333335,8.807500910074825,13984.861111111111,43.644599655607884,12485.02659545204,25.79724719101123
Tower Hamlets,2791.7916666666665,8.763724160909991,13992.013888888889,43.957698946275485,16035.517627882044,27.970458333333333
Newham,2950.847222222222,8.219435109423467,17011.041666666668,47.42710160284105,9758.58318560577,29.771079268292688
Lewisham,2357.847222222222,7.813308004678555,13483.402777777777,44.72250790369773,8828.740628474643,26.86936094674556
Greenwich,2222.75,7.599829112684692,10533.402777777777,36.02888119041248,6048.988137816842,24.27517880794702
Enfield,2438.8333333333335,7.389642519975721,13258.888888888889,40.212655017649084,4177.765255779795,25.403448087431695
Barking and Dagenham,1630.1805555555557,7.3179659101819015,9724.027777777777,43.65301084468879,5892.712926954293,32.883472727272725
Hounslow,2110.0833333333335,7.225431803106393,10653.194444444445,36.52734963154337,4970.96068892316,21.371711267605633
Brent,2479.7916666666665,7.170140733319231,15134.513888888889,43.85272011918434,7791.775458896944,25.19985549132948
Hillingdon,2225.6111111111113,7.104300981410906,8843.680555555555,28.238436799497286,2678.6772199135776,17.839329192546586
Croydon,2769.527777777778,6.984515645356989,15690.555555555555,39.60815537071285,4523.463089152266,21.957304545454544
Waltham Forest,1940.2916666666667,6.958503035233207,11891.388888888889,42.67639701813796,7305.820199838883,25.136930555555555
Ealing,2487.7361111111113,6.668855869644023,14535.625,38.97938682287298,6315.3909298171975,22.55273979591837
Wandsworth,2113.625,6.344463812038004,8818.055555555555,26.502359390072925,9467.615879795132,16.420262569832403
Redbridge,1984.0694444444443,6.32207099304841,10329.652777777777,32.917269147138356,5422.109861329153,16.90785093167702
Barnet,2340.7916666666665,5.941252448345828,11805.694444444445,29.974437401395946,4577.02267274036,15.953625592417062
Havering,1566.1666666666667,5.8794374932096565,6798.333333333333,25.554131062828052,2292.0495375571477,16.35052
Bromley,1932.763888888889,5.826575827908069,6926.527777777777,20.889234775382395,2216.2269913911814,13.969446700507616
Kingston upon Thames,959.8055555555555,5.64532751310681,3535.972222222222,20.81758296654928,4819.520457432691,11.303244897959184
Bexley,1344.5972222222222,5.390071622438731,5449.791666666667,21.864925802187834,4126.712501750559,15.88236301369863
Merton,1144.861111111111,5.281490217870618,6273.958333333333,28.95416246095751,5566.045403425799,14.34733064516129
Sutton,1097.513888888889,5.205171240109603,4591.458333333333,21.7801847020723,4729.584461014545,13.820280991735537
Richmond upon Thames,993.5277777777778,5.053657396394056,3439.027777777778,17.504831505535346,3473.7879851658654,9.423121739130435
Harrow,1303.2777777777778,4.933011136564289,6821.388888888889,25.8305501980398,5060.545260876023,14.860883211678832
