borough,avg_crime_count,avg_crime_per_1000,avg_claimant_count,avg_claimant_per_1000,population_density,imd_value
Westminster,6005.111111111111,28.76555556182018,6729.027777777777,32.358291510218955,11838.56456328437,20.33184375
Camden,2963.7361111111113,13.720503957498694,7283.75,33.84357135343557,11594.546771706013,19.981052631578947
Kensington and Chelsea,1760.2777777777778,12.08829430507791,3890.6944444444443,26.77463126094787,13139.29636993956,22.019300970873783
Islington,2293.527777777778,10.378621968060019,9137.361111111111,41.42587639606869,16037.727467069308,27.706040650406504
Hackney,2652.5138888888887,10.046825007217754,12394.375,47.02355739863385,14790.258294059671,32.868201388888885
Southwark,2954.8194444444443,9.480030134269107,13127.986111111111,42.19668979276927,11166.988825769828,26.041289156626508
Hammersmith and Fulham,1718.7916666666667,9.200149038454734,6930.208333333333,37.18704570689825,11224.304164799254,22.32622123893805
Haringey,2419.2361111111113,9.088256908221348,13280.347222222223,50.03627350839939,9604.847723627645,27.587200000000003
Lambeth,2825.9583333333335,8.807500910074825,13984.861111111111,43.644599655607884,12485.02659545204,25.79724719101123
Tower Hamlets,2791.7916666666665,8.763724160909991,13992.013888888889,43.957698946275485,16035.517627882044,27.970458333333333
